Date,Open,High,Low,Close,Volume
8/19/2004,2.490595293,2.591712969,2.389974489,2.499062777,893181924
8/20/2004,2.51575014,2.716741185,2.503047846,2.697562933,456686856
8/23/2004,2.758334338,2.826327151,2.715993835,2.724710941,365122512
8/24/2004,2.770537989,2.779504245,2.57950932,2.611886501,304946748
8/25/2004,2.614129162,2.689843214,2.587230868,2.640031338,183772044
8/26/2004,2.613879043,2.688596969,2.606656589,2.687600613,141897960
8/27/2004,2.692333249,2.705284455,2.632310324,2.643766403,124235640
8/30/2004,2.622099135,2.627329115,2.540656567,2.540656567,103935960
8/31/2004,2.547878733,2.582995836,2.544392318,2.549622297,98357544
9/1/2004,2.557841158,2.564566028,2.482376022,2.49682188,182765052
9/2/2004,2.470421236,2.549622413,2.4641949,2.528203011,302373324
9/3/2004,2.514255653,2.533931492,2.47365871,2.490844488,103048848
9/7/2004,2.515750093,2.540407235,2.480881903,2.529946327,116950932
9/8/2004,2.509025363,2.56605969,2.503047939,2.547878742,99712188
9/9/2004,2.553607492,2.558090027,2.515501791,2.548127651,81234684
9/10/2004,2.530444838,2.653978272,2.522972523,2.623343706,173977848
9/13/2004,2.655721308,2.700054531,2.651487684,2.67738986,156882960
9/14/2004,2.676144761,2.789466926,2.65970619,2.776764631,216579204
9/15/2004,2.753602073,2.845007003,2.744635818,2.789466619,214261524
9/16/2004,2.797934312,2.884109268,2.780749482,2.838531256,185326488
9/17/2004,2.849738658,2.926200151,2.828071294,2.926200151,189450360
9/20/2004,2.912751346,3.028563567,2.908267863,2.972774506,212575212
9/21/2004,2.983981635,2.999174938,2.926698401,2.934917212,144575280
9/22/2004,2.923958644,2.980495385,2.909263874,2.948365927,151624224
9/23/2004,2.959822872,3.054216626,2.91449354,3.009137154,170713116
9/24/2004,3.012126118,3.090828996,2.982736817,2.984480381,182469348
9/27/2004,2.977755723,3.010631442,2.933921272,2.945377588,141322536
9/28/2004,3.021092149,3.173017814,2.993943998,3.159569025,338581080
9/29/2004,3.155584451,3.362801849,3.143878512,3.264672041,610329060
9/30/2004,3.235282935,3.295057175,3.21286718,3.227810621,275160564
10/1/2004,3.257698294,3.34337472,3.210377428,3.302031279,302497200
10/4/2004,3.368530059,3.40887714,3.338144403,3.363797665,260455284
10/5/2004,3.353835556,3.450221799,3.293562773,3.446236849,299464236
10/6/2004,3.425813259,3.448229016,3.387208793,3.414107084,267628104
10/7/2004,3.41012214,3.483844656,3.400907211,3.458191395,282301416
10/8/2004,3.454953092,3.478862791,3.412613535,3.430296898,221390388
10/11/2004,3.41211486,3.458440554,3.333662079,3.368779182,209442348
10/12/2004,3.348355608,3.427308345,3.322453434,3.422077179,233310456
10/13/2004,3.569521276,3.575248841,3.488826161,3.509248495,395324280
10/14/2004,3.51198827,3.546109015,3.450968046,3.536645412,208842948
10/15/2004,3.609619726,3.623815724,3.535399382,3.589196205,263895840
10/18/2004,3.566532755,3.715968138,3.516969555,3.714972019,280726992
10/19/2004,3.748345483,3.795667059,3.669891517,3.684586287,362197440
10/20/2004,3.686827243,3.710736941,3.476870182,3.499037027,454453092
10/21/2004,3.596419618,3.739130121,3.527180584,3.72045064,582996420
10/22/2004,4.247461297,4.487305745,4.086568405,4.294533253,1474200324
10/25/2004,4.393409203,4.842464204,4.297521736,4.667375565,1309257432
10/26/2004,4.640974654,4.797882102,4.483071563,4.527902126,891391716
10/27/2004,4.550815857,4.720175982,4.527154833,4.631759644,533725740
10/28/2004,4.649443203,4.84146824,4.622545147,4.814320087,593278128
10/29/2004,4.953545038,4.979945748,4.747075075,4.748071194,845653500
11/1/2004,4.820546774,4.923159338,4.763761364,4.882313251,488507004
11/2/2004,4.95080453,4.962510706,4.815316235,4.853423119,453398148
11/3/2004,4.935860806,5.021039643,4.750810499,4.773724079,554992452
11/4/2004,4.693277382,4.742092896,4.56650549,4.600128651,575807616
11/5/2004,4.53238493,4.54035483,4.197898279,4.217823029,792530676
11/8/2004,4.257174746,4.369499842,4.219068335,4.297522068,447224328
11/9/2004,4.336126109,4.363522461,4.116206896,4.201634407,442125432
11/10/2004,4.250698714,4.29677455,4.142606769,4.180713654,425334240
11/11/2004,4.212343005,4.576468329,4.173489626,4.558287144,598820580
11/12/2004,4.613328654,4.727149575,4.418314801,4.532883167,669174156
11/15/2004,4.49427926,4.690288771,4.451938753,4.604362965,475583940
